540,"BLO Polo Club, Rugby"
541,Hurlingham-2
542,Leander Club-1
543,Indonesia-2
544,Western Rowing Club-3
545,Pigoule
546,South Vietnam
547,Snowten III
548,Hungaria
549,Libellule de Paris
550,Scram
551,United States Virgin Islands-2
552,United States Virgin Islands-1
553,Amstel Amsterdam
554,Scotland-3
555,Peri II
556,Liverpool Police Team-2
557,Vinha
558,Fantasio III
559,Pousse-Moi Pas VII
560,Norwegian Rowing Association
561,LaBandera
562,Gilliatt V
563,United States Golf Association-3
564,Trans-Mississippi Golf Association-2
565,China-2
566,China-1
567,Sarcelle-35
568,Sarcelle-3
569,Tango
570,Argentina-1
571,Brynhild-2
572,Espuma del Mar
573,Twins II
574,Pupilles de Neptune de Lille #2-1
575,Beaver
576,Monaco-2
577,Baccara
578,Cobweb-1
579,Ral-Club Barcelona
580,Vietnam
581,Elvis Va
582,Romolo
583,Aldebaran II
584,Aldebaran
585,Argus
586,Galatea II
587,Twins VIII
588,Antwerpia V
589,Lotta IV
590,Saga-2
591,Mari
592,Paula
593,Oranje
594,Willem-Six
595,DeRuyter
596,Acturus
597,Societ Nautique de la Marne
598,Mexico-2
599,Teresita
600,Barion/Bari-2
601,Eissero VI
602,New York Athletic Club-4
603,K Division Metropolitan Police Team-3
604,Israel-1
605,Hong Kong-1
606,Malaysia-1
607,Cambodia
608,Complex II
609,Allegro
610,Gam II
611,Ylliam VIII
612,Quand-Mme-33
613,Quand-Mme-2
614,United States-9
615,Berliner Ruderclub Sport-Borussia-1
616,Smyrna
617,Chinese Taipei-2
618,Calimucho
619,Bhutan
620,North Korea-1
621,Malaysia-2
622,Kingfisher
623,Yangon
624,Gustel V
625,Sonja II
626,Jill
627,Kiel
628,KNS
629,Galt Football Club
630,Tim-Tam III
631,Uragan
632,Kon-Tiki
633,Babe
634,Poland-2
635,Antares
636,Venilia
637,Hatuey
638,Mauritius-1
639,Cincinnati Archers
640,Morena
641,Libellule de Paris-3
642,Societ Nautique de la Marne-3
643,"Osborne Swimming Club, Manchester"
644,Brussels Swimming and Water Polo Club
645,Ancora
646,Saskia
647,Wales-4
648,SagaII
649,Gem
650,June Climene
651,Cambria
652,Oleander XII
653,Phoenix
654,Ylliam VII
655,Ballerina IV
